clip_id,sequence,a_clip,s_learned,s_oracle,s0,ratio_learned_over_oracle,abs_log_scale_err_learned,abs_log_scale_err_const,rel_scale_err_learned,rel_scale_err_const,frame_median_std,frame_median_range,median_abs_r_shape,rms_r_shape,rms_r,scalar_energy_fraction,n_support_px,frame_median_0,frame_median_1,frame_median_2,frame_median_3,frame_median_4
08_001175_001195_s5,08,-0.0553801991045475,25.892139761507686,25.00321938344947,27.3665,1.0355522368710097,0.034934846617849846,0.09031504572239735,0.035552236871009724,0.09451905293903362,0.022500193574962003,0.06348483357578516,0.030975681729614735,0.042014099387253416,0.06692570455078903,0.6847359375428671,333706,-0.07564664259552956,-0.04674473591148853,-0.022518827579915524,-0.06566452980041504,-0.08600366115570068
08_001200_001220_s5,08,-0.16818540543317795,23.13008687554615,22.64178942828334,27.3665,1.0215662038907953,0.021336943641213413,0.18952234907439092,0.021566203890795332,0.20867213639107152,0.013366925349214697,0.038861505687236786,0.03807196021080017,0.0934154869742381,0.16195197387256263,1.0784601987400244,330078,-0.1588582545518875,-0.17224951088428497,-0.16603133082389832,-0.1977197602391243,-0.16707810759544373
08_001225_001245_s5,08,-0.2420162558555603,21.4838906411104,20.59934236938148,27.3665,1.0429406073197607,0.042044230312658026,0.28406048616821833,0.04294060731976068,0.3285132850006469,0.01036317106534906,0.03047976642847061,0.030890345573425293,0.12889954525431,0.21653398784395997,1.2492142429373683,347999,-0.24611791968345642,-0.23706988990306854,-0.2316778525710106,-0.2621576189994812,-0.24225835502147675
08_001250_001270_s5,08,-0.11506523936986923,24.39198020789827,23.142362681455488,27.3665,1.0539969727224148,0.052589577935173715,0.16765481730504295,0.05399697272241477,0.18252835186657101,0.02477266515138824,0.07233696430921555,0.05056806653738022,0.07680773195230337,0.12630639435426233,0.8299226461101467,312893,-0.08252694457769394,-0.14420442283153534,-0.12347492575645447,-0.12941044569015503,-0.15486390888690948
08_001275_001295_s5,08,0.02095429226756096,27.945995898842348,28.965911157797507,27.3665,0.9647891187196229,0.035845731348497445,0.056800023616058404,0.03521088128037708,0.055217015238512634,0.02222744207602506,0.06078973039984703,0.025705873733386397,0.04110807248998698,0.048749051408722446,0.18476242577697766,341220,-0.002436906099319458,0.04249265976250172,0.04108794964849949,0.05835282430052757,0.011682542506605387
08_001300_001320_s5,08,-0.07645387947559357,25.352206258969613,25.298250860567205,27.3665,1.0021327718939854,0.0021305007646366114,0.07858438024023018,0.002132771893985419,0.081754630026877,0.059367408440162785,0.13107126019895077,0.06416380451992154,0.07781407320681451,0.11772095817868955,0.4217853376583252,315038,-0.05975561775267124,-0.06018255278468132,-0.07486315816640854,-0.1799808293581009,-0.190826877951622
08_001325_001345_s5,08,-0.19621382653713226,22.490788178770778,23.00647189246972,27.3665,0.9775852761731915,0.02266975187586251,0.1735440746612693,0.022414723826808536,0.18951311300179707,0.00949860892617847,0.025075003504753113,0.025572970509529114,0.10056066742357932,0.17746854906649814,1.222408658832967,335415,-0.18935031443834305,-0.21423962712287903,-0.2037033811211586,-0.1961667761206627,-0.18916462361812592
08_001350_001370_s5,08,-0.06480037420988083,25.649376502532423,24.984123833125224,27.3665,1.0266270161743745,0.026278686962203146,0.09107906117208353,0.026627016174374463,0.09535560193294024,0.01061085331737411,0.028716813772916794,0.022221364080905914,0.040309663079142286,0.06886124551802769,0.8855340811292832,332401,-0.07593418285250664,-0.07229697331786156,-0.04819893464446068,-0.07691574841737747,-0.06472815945744514
08_001375_001395_s5,08,-0.007167918374761939,27.171040517481433,25.926635924406664,27.3665,1.04799714844236,0.046880864943202205,0.0540487833179637,0.04799714844236003,0.05553609345198085,0.0034128023089366644,0.009843327105045319,0.011056109564378858,0.023532815031409846,0.02582496942985609,0.07703826086346025,335790,-0.00823249388486147,-0.006694672396406531,-0.005978249479085207,-0.014328935649245977,-0.004485608544200659
08_001400_001420_s5,08,-0.14428965747356415,23.689454235912383,23.98153660208883,27.3665,0.9878205316438727,0.012254245868021929,0.13203541160554222,0.012179468356127265,0.14114872846039117,0.026092204322516216,0.06860189139842987,0.0342726856470108,0.07482862620053486,0.1434952697226508,1.0111026183934728,323621,-0.1388283520936966,-0.1996273547410965,-0.16436031460762024,-0.13256646692752838,-0.13102546334266663
