clip_id,group,condition,corrector,is_oracle,scale_used,tp,fp,fn,precision,recall,iou,n_pred_occupied,canonical_occupied,native_occupied,frac_pred_in_eval_mask,n_fused_points,frac_points_in_grid
08_000200_000220_s5,08,G51-C,raw,0,25.11488753542191,2525,18381,147820,0.12077872381134602,0.016794705510658817,0.014965091331507889,20906,25002,25002,0.8361731061515079,308075,0.5515507587438124
08_000200_000220_s5,08,G51-C,dilate_r2,0,25.11488753542191,30431,105810,119914,0.22336154314780426,0.20240779540390436,0.11879916456832777,136241,161522,161522,0.8434826215623877,308075,0.5515507587438124
08_000200_000220_s5,08,G51-D,raw,0,38.91999308876269,4535,17297,145810,0.20772260901429096,0.030163956233995145,0.027051693489698287,21832,41446,41446,0.5267577088259422,307954,0.48009118244932686
08_000200_000220_s5,08,G51-D,dilate_r2,0,38.91999308876269,62859,124340,87486,0.3357870501444986,0.4180983737403971,0.2288403079891512,187199,310027,310027,0.6038151515835718,307954,0.48009118244932686
08_000225_000245_s5,08,M0,raw,0,27.3665,5615,24383,149940,0.18717914527635177,0.036096557487705315,0.03120519289977659,29998,32044,32044,0.9361502933466483,302801,0.6255395457742874
08_000225_000245_s5,08,M0,dilate_r2,0,27.3665,35815,128014,119740,0.21861208943471547,0.23024010800038572,0.1263008297804062,163829,190242,190242,0.861161047507911,302801,0.6255395457742874
08_000225_000245_s5,08,M1,raw,0,32.452470849518654,17070,15552,138485,0.5232665072650359,0.10973610620037928,0.09976213714225601,32622,39150,39150,0.8332567049808429,302801,0.6043738296769166
08_000225_000245_s5,08,M1,dilate_r2,0,32.452470849518654,54914,120174,100641,0.31363657132413414,0.3530198322136865,0.1991593194767326,175088,240086,240086,0.7292720108627742,302801,0.6043738296769166
08_000225_000245_s5,08,OR,raw,1,33.520522868313286,14923,15382,140632,0.49242699224550407,0.09593391404969304,0.08730116943669305,30305,40128,40128,0.7552083333333334,302801,0.5930594680995109
08_000225_000245_s5,08,OR,dilate_r2,1,33.520522868313286,57402,117006,98153,0.3291248107884959,0.36901417505062517,0.21060239726153043,174408,248554,248554,0.7016905783049157,302801,0.5930594680995109
08_000225_000245_s5,08,G51-A,raw,0,27.363484700520836,5601,24406,149954,0.1866564468290732,0.03600655716627559,0.031123410072182306,30007,32044,32044,0.9364311571589065,302801,0.6255494532712904
08_000225_000245_s5,08,G51-A,dilate_r2,0,27.363484700520836,35794,128024,119761,0.21849857768987535,0.23010510751824115,0.1262223225274086,163818,190206,190206,0.8612662061133718,302801,0.6255494532712904
08_000225_000245_s5,08,G51-B,raw,0,32.601192650496785,16885,15445,138670,0.5222703371481596,0.10854681623862943,0.09874269005847953,32330,39227,39227,0.8241772248706248,302801,0.6032245600245706
08_000225_000245_s5,08,G51-B,dilate_r2,0,32.601192650496785,55304,119536,100251,0.31631205673758866,0.3555269840249429,0.20103892893624292,174840,240996,240996,0.7254892197380869,302801,0.6032245600245706
08_000225_000245_s5,08,G51-C,raw,0,26.194407393292682,3635,24677,151920,0.1283907883582933,0.023367940599787855,0.020168449553908296,28312,29870,29870,0.9478406427854034,302801,0.6291822021723839
08_000225_000245_s5,08,G51-C,dilate_r2,0,26.194407393292682,31768,125852,123787,0.20154802690013957,0.20422358651280897,0.11288987125409106,157620,177505,177505,0.8879749866200952,302801,0.6291822021723839
