clip_id,scene,scale_tag,frame,offset,rot_err_deg,trans_err_m,trans_mag_pred_m,trans_mag_gt_m,trans_mag_ratio,trans_dir_err_deg
scene-0626_CAM_FRONT_73aabbd3_b822fb7e,scene-0626,oracle,2,-2,0.4550823323395578,0.1956298037137843,2.2747356767000277,2.4652800348278174,0.922708838170144,1.0722263677853505
scene-0626_CAM_FRONT_73aabbd3_b822fb7e,scene-0626,oracle,3,-1,0.1720414282476084,0.07196729978650153,1.145483770018433,1.213309581561607,0.9440985115638189,1.1694212702914322
scene-0627_CAM_FRONT_0fae8aae_6a692a42,scene-0627,const,0,-4,0.724951611164604,2.8399532187125214,13.726810384895535,10.924581010435775,1.2565068053212212,2.1587017698795576
scene-0627_CAM_FRONT_0fae8aae_6a692a42,scene-0627,const,1,-3,0.3388701110545691,1.845283691729045,9.98339436746916,8.163944508498517,1.2228640649231053,1.9528556505629244
scene-0627_CAM_FRONT_0fae8aae_6a692a42,scene-0627,const,2,-2,0.3280205990958455,1.2721188569425717,6.655889289577198,5.397238381297331,1.2332027639619145,1.7649321044781199
scene-0627_CAM_FRONT_0fae8aae_6a692a42,scene-0627,const,3,-1,0.29867486281414407,0.7780111117558693,3.4310643127048848,2.6554324490923578,1.2920924853040952,1.1540998870990822
scene-0627_CAM_FRONT_0fae8aae_6a692a42,scene-0627,oracle,0,-4,0.724951611164604,0.6777685515590167,11.45537824586154,10.924581010435775,1.0485874227046985,2.158701769879389
scene-0627_CAM_FRONT_0fae8aae_6a692a42,scene-0627,oracle,1,-3,0.3388701110545691,0.3271843468122109,8.331400773394831,8.163944508498517,1.0205116858305436,1.9528556505629244
scene-0627_CAM_FRONT_0fae8aae_6a692a42,scene-0627,oracle,2,-2,0.3280205990958455,0.2306059816587683,5.5545117355582745,5.397238381297331,1.029139597540463,1.7649321044779134
scene-0627_CAM_FRONT_0fae8aae_6a692a42,scene-0627,oracle,3,-1,0.29867486281414407,0.21517130771125317,2.863311897362567,2.6554324490923578,1.0782845929073674,1.1540998870990822
scene-0627_CAM_FRONT_a027c6b2_35ef5018,scene-0627,const,0,-4,0.6166949855406805,4.704325079840295,15.8875743338343,11.200036385361567,1.4185288142991517,1.705549278891085
scene-0627_CAM_FRONT_a027c6b2_35ef5018,scene-0627,const,1,-3,0.8753278434276122,4.090779593340407,12.464999717666208,8.390999247436266,1.485520299799179,2.0737205670282766
scene-0627_CAM_FRONT_a027c6b2_35ef5018,scene-0627,const,2,-2,0.6629053189446306,2.6261177988828273,8.171171630361188,5.552953216590919,1.471500175068583,1.7313181758869358
scene-0627_CAM_FRONT_a027c6b2_35ef5018,scene-0627,const,3,-1,0.2911691691904298,1.4033989092701475,4.128452231740326,2.7288088242011144,1.5129136915441377,1.751492030447753
scene-0627_CAM_FRONT_a027c6b2_35ef5018,scene-0627,oracle,0,-4,0.6166949855406805,0.6140333622887942,11.710745542053804,11.200036385361567,1.0455988837107468,1.705549278891085
scene-0627_CAM_FRONT_a027c6b2_35ef5018,scene-0627,oracle,1,-3,0.8753278434276122,0.8579813138927125,9.187962668693432,8.390999247436266,1.0949783688159267,2.0737205670284524
scene-0627_CAM_FRONT_a027c6b2_35ef5018,scene-0627,oracle,2,-2,0.6629053189446306,0.5014571389972681,6.022978066565237,5.552953216590919,1.0846441220808405,1.7313181758867253
scene-0627_CAM_FRONT_a027c6b2_35ef5018,scene-0627,oracle,3,-1,0.2911691691904298,0.3263884520571125,3.0430859080529626,2.7288088242011144,1.1151700628730765,1.751492030447753
scene-0627_CAM_FRONT_0775bcc7_15431766,scene-0627,const,0,-4,1.0084132170977245,1.8933157574028046,12.93424136538702,11.094960625983097,1.1657762295340233,2.1481167300200825
scene-0627_CAM_FRONT_0775bcc7_15431766,scene-0627,const,1,-3,0.6034303150650338,1.2134577106386033,9.479400163981124,8.286698633306417,1.1439296375375505,1.4447371278172085
scene-0627_CAM_FRONT_0775bcc7_15431766,scene-0627,const,2,-2,0.19348490041473146,0.14350677838364276,5.480902987759771,5.368600023638115,1.0209184822164405,0.9436986673208118
scene-0627_CAM_FRONT_0775bcc7_15431766,scene-0627,const,3,-1,0.5113481757152926,0.4662897717250712,2.8737180837449454,2.416910030500236,1.1890049887997538,2.034044772912789
scene-0627_CAM_FRONT_0775bcc7_15431766,scene-0627,oracle,0,-4,1.0084132170977245,0.8755862275415991,11.857684482623192,11.094960625983097,1.0687450710599085,2.148116730019913
scene-0627_CAM_FRONT_0775bcc7_15431766,scene-0627,oracle,1,-3,0.6034303150650338,0.4569036013150628,8.690400391770591,8.286698633306417,1.0487168384332926,1.4447371278179655
scene-0627_CAM_FRONT_0775bcc7_15431766,scene-0627,oracle,2,-2,0.19348490041473146,0.3543696691849496,5.0247104930825195,5.368600023638115,0.9359442817417131,0.943698667321198
scene-0627_CAM_FRONT_0775bcc7_15431766,scene-0627,oracle,3,-1,0.5113481757152926,0.23533454650034472,2.6345296462647605,2.416910030500236,1.0900404289023051,2.0340447729129685
scene-0627_CAM_FRONT_822fba03_907d8111,scene-0627,const,0,-4,0.3554290656247656,0.5279164845320308,13.804605411982399,13.598548902844785,1.0151528306887587,2.0326408618446474
scene-0627_CAM_FRONT_822fba03_907d8111,scene-0627,const,1,-3,0.26364338797648457,0.42862174929289243,10.209516632074264,10.317966885050637,0.9894891838494361,2.315048582776308
scene-0627_CAM_FRONT_822fba03_907d8111,scene-0627,const,2,-2,0.4300195794894173,0.33011476347158875,6.57794727985275,6.6311485311082485,0.9919770683757242,2.8266866053175197
scene-0627_CAM_FRONT_822fba03_907d8111,scene-0627,const,3,-1,0.05859892021082073,0.19754954497847577,3.257592867935436,3.1805975527147052,1.0242078143948181,3.2387362052739372
scene-0627_CAM_FRONT_822fba03_907d8111,scene-0627,oracle,0,-4,0.3554290656247656,0.5526606946221183,13.320183742158441,13.598548902844785,0.9795297893418532,2.0326408618446474
scene-0627_CAM_FRONT_822fba03_907d8111,scene-0627,oracle,1,-3,0.26364338797648457,0.6194710829133652,9.851251332385797,10.317966885050637,0.9547667134558214,2.3150485827761504
scene-0627_CAM_FRONT_822fba03_907d8111,scene-0627,oracle,2,-2,0.4300195794894173,0.4278944511358884,6.34711850132393,6.6311485311082485,0.9571672948582183,2.826686605317391
scene-0627_CAM_FRONT_822fba03_907d8111,scene-0627,oracle,3,-1,0.05859892021082073,0.18256158497915703,3.143279671027819,3.1805975527147052,0.9882670218195211,3.238736205274162
scene-0627_CAM_FRONT_221c593d_178c06a2,scene-0627,const,0,-4,0.4447741737309459,2.4204259023052574,16.69286687918757,14.356489913176377,1.1627401252075458,2.340382882454371
scene-0627_CAM_FRONT_221c593d_178c06a2,scene-0627,const,1,-3,0.23212494491841862,1.8417782667838711,12.526847496075002,10.731758189217157,1.1672688924971752,2.036385520361792
scene-0627_CAM_FRONT_221c593d_178c06a2,scene-0627,const,2,-2,0.28116274475627584,1.2239597967418145,8.18989651797645,6.983687116090378,1.1727181332489784,1.5735369734840798
scene-0627_CAM_FRONT_221c593d_178c06a2,scene-0627,const,3,-1,0.20053273861181584,0.49385888739486383,4.19637480222705,3.7134512174502183,1.13004710618184,1.500110918008193
scene-0627_CAM_FRONT_221c593d_178c06a2,scene-0627,oracle,0,-4,0.4447741737309459,0.6092932555119758,14.510451630336487,14.356489913176377,1.010724189414768,2.3403828824545267
scene-0627_CAM_FRONT_221c593d_178c06a2,scene-0627,oracle,1,-3,0.23212494491841862,0.4151586561281063,10.88909508402218,10.731758189217157,1.0146608684272358,2.036385520361792
scene-0627_CAM_FRONT_221c593d_178c06a2,scene-0627,oracle,2,-2,0.28116274475627584,0.23632228533949803,7.119154435343003,6.983687116090378,1.0193976787620553,1.5735369734843114
scene-0627_CAM_FRONT_221c593d_178c06a2,scene-0627,oracle,3,-1,0.20053273861181584,0.11662957983817519,3.64774331642199,3.7134512174502183,0.9823054357845192,1.5001109180086791
scene-0627_CAM_FRONT_9d7f6bb3_fec53f7e,scene-0627,const,0,-4,0.5238398462604895,2.95285884327981,17.499873136234175,14.604122492534213,1.198283097473354,2.0714127598417758
scene-0627_CAM_FRONT_9d7f6bb3_fec53f7e,scene-0627,const,1,-3,0.5290402895435008,2.310495334542849,13.126051573788027,10.846433427335748,1.2101721419971163,1.8078429523307682
scene-0627_CAM_FRONT_9d7f6bb3_fec53f7e,scene-0627,const,2,-2,0.420860003176641,1.3221647753231682,8.126323423447573,6.817427839749694,1.1919925834881937,1.4383492415720707
scene-0627_CAM_FRONT_9d7f6bb3_fec53f7e,scene-0627,const,3,-1,0.6466162849297402,0.2851024463900852,3.6110767778476016,3.337208668739946,1.0820650238844856,1.3079472062428128
scene-0627_CAM_FRONT_9d7f6bb3_fec53f7e,scene-0627,oracle,0,-4,0.5238398462604895,0.6899082451011292,14.15036177354828,14.604122492534213,0.9689292719081273,2.0714127598417758
scene-0627_CAM_FRONT_9d7f6bb3_fec53f7e,scene-0627,oracle,1,-3,0.5290402895435008,0.410813754244086,10.613698566921304,10.846433427335748,0.9785427290939809,1.8078429523305666
