clip_id,variant,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction,fov_moge_out_deg
2013_05_28_drive_0006_sync_000135,B,0,64871,12.68963826769025,0.059736477186814074,0.9959321566464424,0.8945256480970767,103.74479675292969
2013_05_28_drive_0006_sync_000135,B,1,65843,12.653034568526596,0.03574359372124869,0.9972835079977938,0.9079288472145615,103.74479675292969
2013_05_28_drive_0006_sync_000135,B,2,64800,12.746838048986486,0.04501298559741507,0.9972421400992829,0.8935466078323221,103.74479675292969
2013_05_28_drive_0006_sync_000135,B,3,64737,13.585571465719967,0.06770919456878266,0.9969111969111969,0.8926778819635962,103.74479675292969
2013_05_28_drive_0006_sync_000135,B,4,64202,13.77308531138691,0.05328223523371722,0.9969111969111969,0.8853557639271925,103.74479675292969
2013_05_28_drive_0006_sync_000140,B,0,65699,11.452291414882595,0.0455107515008244,0.9972835079977938,0.9059431880860452,103.74479675292969
2013_05_28_drive_0006_sync_000140,B,1,64705,11.657785827367842,0.04489680042628663,0.9972421400992829,0.8922366243794815,103.74479675292969
2013_05_28_drive_0006_sync_000140,B,2,64844,12.530627180448334,0.06979154416701339,0.9969111969111969,0.8941671263099834,103.74479675292969
2013_05_28_drive_0006_sync_000140,B,3,64114,12.44578897664835,0.049137041087999656,0.9969111969111969,0.884142305570877,103.74479675292969
2013_05_28_drive_0006_sync_000140,B,4,63425,12.420707106455268,0.04227594325543782,0.9966492002206288,0.8745863210148924,103.74479675292969
2013_05_28_drive_0006_sync_000145,B,0,64361,10.04452158789753,0.04176363981305098,0.9972421400992829,0.8874931053502482,103.74479675292969
2013_05_28_drive_0006_sync_000145,B,1,64509,10.927586213322998,0.09632552476055078,0.9969111969111969,0.8895339216767788,103.74479675292969
2013_05_28_drive_0006_sync_000145,B,2,64460,10.461636098866498,0.07208298070768349,0.9969111969111969,0.8889134031991175,103.74479675292969
2013_05_28_drive_0006_sync_000145,B,3,63035,10.75766640417772,0.04054497032934723,0.9966492002206288,0.8692084942084942,103.74479675292969
2013_05_28_drive_0006_sync_000145,B,4,61829,11.012351249340716,0.029493300513142362,0.9959597352454496,0.8525785990071705,103.74479675292969
2013_05_28_drive_0006_sync_000150,B,0,64773,10.43003493088942,0.06301704866752766,0.9969111969111969,0.8931742967457253,103.74479675292969
