clip_id,block,anchor,condition,corrector,is_oracle,scale_used,tp,fp,fn,precision,recall,iou,n_pred_occupied,n_occupied_pred,n_valid_eval_voxels,n_gt_occupied,frac_pred_in_eval_mask,n_fused_points,n_points_in_grid,n_points_out_grid
2013_05_28_drive_0006_sync_000070,0,70,A,raw,0,19.211941591709945,3135,5480,68595,0.3639001741149158,0.04370556252613969,0.04060354876311359,8615,19273,256980,71730,0.4469983915321953,326854,146729,180125
2013_05_28_drive_0006_sync_000070,0,70,A,dilate_r2,0,19.211941591709945,13266,24042,58464,0.35558057253136055,0.1849435382685069,0.138516476632001,37308,101946,256980,71730,0.36595844859043025,326854,146729,180125
2013_05_28_drive_0006_sync_000070,0,70,B,raw,0,18.770526274875625,3322,5434,68408,0.3793969849246231,0.04631256099261118,0.04305116375511897,8756,18790,256980,71730,0.46599254922831296,326854,150469,176385
2013_05_28_drive_0006_sync_000070,0,70,B,dilate_r2,0,18.770526274875625,13624,24445,58106,0.3578764874307179,0.18993447650913148,0.14165843514426826,38069,99370,256980,71730,0.38310355237999394,326854,150469,176385
2013_05_28_drive_0006_sync_000070,0,70,OR,raw,1,19.386235809974096,3013,5445,68717,0.3562307874201939,0.042004739997211764,0.03904114026563006,8458,19351,256980,71730,0.43708335486538163,326854,145020,181834
2013_05_28_drive_0006_sync_000070,0,70,OR,dilate_r2,1,19.386235809974096,13167,23977,58563,0.3544852466077967,0.1835633626097867,0.13757614385572633,37144,103095,256980,71730,0.3602890537853436,326854,145020,181834
2013_05_28_drive_0006_sync_000075,0,75,C0,raw,0,27.3665,2339,2654,69968,0.46845583817344283,0.03234818205706225,0.031202892170595378,4993,26153,246689,72307,0.19091500019118265,325169,128192,196977
2013_05_28_drive_0006_sync_000075,0,75,C0,dilate_r2,0,27.3665,10555,18825,61752,0.3592579986385296,0.14597480188640105,0.11582100689110301,29380,143731,246689,72307,0.2044096263158261,325169,128192,196977
2013_05_28_drive_0006_sync_000075,0,75,C3,raw,0,25.856323340993338,2100,3348,70207,0.3854625550660793,0.029042831261150374,0.027757583768422443,5448,24997,246689,72307,0.21794615353842461,325316,132427,192889
2013_05_28_drive_0006_sync_000075,0,75,C3,dilate_r2,0,25.856323340993338,10363,20595,61944,0.334743846501712,0.143319457313953,0.11154765236485759,30958,134938,246689,72307,0.22942388356133928,325316,132427,192889
2013_05_28_drive_0006_sync_000075,0,75,A,raw,0,20.23548967703648,2033,5310,70274,0.27686231785373827,0.028116226644723193,0.026192715513354035,7343,20602,246689,72307,0.3564217066304242,325326,151789,173537
2013_05_28_drive_0006_sync_000075,0,75,A,dilate_r2,0,20.23548967703648,10702,23373,61605,0.31407190022010273,0.14800780007468156,0.11185200668896321,34075,104060,246689,72307,0.3274553142417836,325326,151789,173537
2013_05_28_drive_0006_sync_000075,0,75,B,raw,0,19.661502111767643,2087,5514,70220,0.27456913564004737,0.028863042305724205,0.026817954022693102,7601,20136,246689,72307,0.37748311481922925,325326,155140,170186
2013_05_28_drive_0006_sync_000075,0,75,B,dilate_r2,0,19.661502111767643,10971,23149,61336,0.3215416178194607,0.15172804846003846,0.11493253436138116,34120,100890,246689,72307,0.3381901080384577,325326,155140,170186
2013_05_28_drive_0006_sync_000075,0,75,OR,raw,1,19.789286143734955,2090,5434,70217,0.2777777777777778,0.028904532064668705,0.02688414092949666,7524,20207,246689,72307,0.3723462166575939,325326,154423,170903
2013_05_28_drive_0006_sync_000075,0,75,OR,dilate_r2,1,19.789286143734955,10944,23123,61363,0.32124930284439485,0.15135464062953793,0.11468091795033009,34067,101500,246689,72307,0.3356354679802956,325326,154423,170903
2013_05_28_drive_0006_sync_000080,0,80,C0,raw,0,27.3665,2387,3053,66393,0.43878676470588235,0.03470485606280896,0.03322985257472193,5440,17704,228725,68780,0.30727519204699505,324195,86455,237740
2013_05_28_drive_0006_sync_000080,0,80,C0,dilate_r2,0,27.3665,9567,17118,59213,0.3585160202360877,0.13909566734515846,0.11137628349903374,26685,106077,228725,68780,0.2515625441895981,324195,86455,237740
2013_05_28_drive_0006_sync_000080,0,80,C3,raw,0,25.803545455388846,2088,3521,66692,0.3722588696737386,0.030357662111078803,0.028879268613158877,5609,17118,228725,68780,0.32766678350274564,324199,88955,235244
2013_05_28_drive_0006_sync_000080,0,80,C3,dilate_r2,0,25.803545455388846,9510,17910,59270,0.34682713347921224,0.13826693806339052,0.10970123428307764,27420,99683,228725,68780,0.2750719781708014,324199,88955,235244
2013_05_28_drive_0006_sync_000080,0,80,A,raw,0,20.811604176919296,2482,3975,66298,0.38438903515564504,0.036086071532422215,0.03411449384921998,6457,14942,228725,68780,0.43213759871503143,324199,106269,217930
2013_05_28_drive_0006_sync_000080,0,80,A,dilate_r2,0,20.811604176919296,8396,18189,60384,0.3158171901448185,0.12207036929339925,0.09654014648897884,26585,79833,228725,68780,0.33300765347663247,324199,106269,217930
2013_05_28_drive_0006_sync_000080,0,80,B,raw,0,20.08503703327922,2336,4402,66444,0.3466904125853369,0.03396336144227973,0.03192041758902462,6738,14848,228725,68780,0.45379849137931033,324199,110888,213311
2013_05_28_drive_0006_sync_000080,0,80,B,dilate_r2,0,20.08503703327922,8426,18981,60354,0.3074397051848068,0.1225065425995929,0.09601075648636638,27407,77203,228725,68780,0.35499915806380583,324199,110888,213311
2013_05_28_drive_0006_sync_000080,0,80,OR,raw,1,19.746593255761073,2207,4616,66573,0.32346475157555327,0.03208781622564699,0.030069758569949315,6823,14597,228725,68780,0.46742481331780505,324199,112725,211474
2013_05_28_drive_0006_sync_000080,0,80,OR,dilate_r2,1,19.746593255761073,8621,19507,60159,0.30649175199089873,0.1253416690898517,0.09764744526374211,28128,76075,228725,68780,0.36974038777522183,324199,112725,211474
2013_05_28_drive_0006_sync_000085,0,85,C0,raw,0,27.3665,1697,2527,66316,0.4017518939393939,0.02495111228735683,0.02405727246952084,4224,18376,213105,68013,0.22986504135829341,321153,73557,247596
2013_05_28_drive_0006_sync_000085,0,85,C0,dilate_r2,0,27.3665,8995,16155,59018,0.3576540755467197,0.13225412788731566,0.10686959414504325,25150,119449,213105,68013,0.21055010925164713,321153,73557,247596
2013_05_28_drive_0006_sync_000085,0,85,C3,raw,0,27.18407761248852,1785,2523,66228,0.41434540389972147,0.026244982576860306,0.02530622660768969,4308,18260,213105,68013,0.23592552026286967,321153,73880,247273
2013_05_28_drive_0006_sync_000085,0,85,C3,dilate_r2,0,27.18407761248852,8958,16288,59055,0.35482848768121683,0.13171011424286533,0.10626208467277969,25246,118760,213105,68013,0.21257999326372515,321153,73880,247273
2013_05_28_drive_0006_sync_000085,0,85,A,raw,0,22.311012520695368,1924,3493,66089,0.35517814288351485,0.028288709511416935,0.026906832993035548,5417,16905,213105,68013,0.3204377403135167,321153,86145,235008
2013_05_28_drive_0006_sync_000085,0,85,A,dilate_r2,0,22.311012520695368,9038,18510,58975,0.32808189342239,0.13288635996059578,0.10445777423344083,27548,100728,213105,68013,0.2734890000794218,321153,86145,235008
2013_05_28_drive_0006_sync_000085,0,85,B,raw,0,21.26623658459597,1897,3684,66116,0.33990324314638953,0.027891726581682912,0.026458568698829798,5581,16733,213105,68013,0.33353254048885433,321153,92271,228882
2013_05_28_drive_0006_sync_000085,0,85,B,dilate_r2,0,21.26623658459597,9102,18802,58911,0.32618979357798167,0.13382735653478012,0.10484363301272821,27904,97331,213105,68013,0.2866918042555815,321153,92271,228882
2013_05_28_drive_0006_sync_000085,0,85,OR,raw,1,20.73115250538898,1930,3666,66083,0.3448892065761258,0.028376927940246717,0.02692559885043039,5596,16610,213105,68013,0.33690547862733294,321153,96305,224848
2013_05_28_drive_0006_sync_000085,0,85,OR,dilate_r2,1,20.73115250538898,8961,18891,59052,0.32173632055148643,0.13175422345728022,0.10311378072355702,27852,94898,213105,68013,0.29349406731437966,321153,96305,224848
2013_05_28_drive_0006_sync_000090,0,90,C0,raw,0,27.3665,1721,2756,71753,0.3844092025910208,0.02342325176252824,0.022576413485504394,4477,20414,200173,73474,0.21931027726070343,326977,78405,248572
2013_05_28_drive_0006_sync_000090,0,90,C0,dilate_r2,0,27.3665,7956,15347,65518,0.34141526842037506,0.10828320222119389,0.08957341169318067,23303,125343,200173,73474,0.18591385238904445,326977,78405,248572
2013_05_28_drive_0006_sync_000090,0,90,C3,raw,0,26.957730263877515,1640,2800,71834,0.36936936936936937,0.022320820970683507,0.021501429058394736,4440,20335,200173,73474,0.2183427587902631,326993,79817,247176
2013_05_28_drive_0006_sync_000090,0,90,C3,dilate_r2,0,26.957730263877515,7930,15392,65544,0.34002229654403565,0.10792933554726843,0.08923547813561993,23322,123811,200173,73474,0.1883677540767783,326993,79817,247176
2013_05_28_drive_0006_sync_000090,0,90,A,raw,0,22.32011298197295,1379,3516,72095,0.28171603677221657,0.018768543974739364,0.01791141706715158,4895,18192,200173,73474,0.26907431838170626,327108,99617,227491
2013_05_28_drive_0006_sync_000090,0,90,A,dilate_r2,0,22.32011298197295,6926,17107,66548,0.28818707610369076,0.09426463783106949,0.07646195118181517,24033,102185,200173,73474,0.23519107501100944,327108,99617,227491
2013_05_28_drive_0006_sync_000090,0,90,B,raw,0,21.199685754189954,1264,3729,72210,0.2531544161826557,0.01720336445545363,0.016372420760851263,4993,17556,200173,73474,0.28440419229892916,327108,104439,222669
2013_05_28_drive_0006_sync_000090,0,90,B,dilate_r2,0,21.199685754189954,6758,18096,66716,0.27190794238351973,0.09197811470724337,0.0738014633613629,24854,96967,200173,73474,0.2563140037332288,327108,104439,222669
2013_05_28_drive_0006_sync_000090,0,90,OR,raw,1,20.177028547501795,1149,4434,72325,0.2058033315421816,0.015638184936167896,0.014748164501719977,5583,17078,200173,73474,0.3269118163719405,327108,109781,217327
2013_05_28_drive_0006_sync_000090,0,90,OR,dilate_r2,1,20.177028547501795,6960,18678,66514,0.2714720336999766,0.0947273865585105,0.07552738953034117,25638,92436,200173,73474,0.27735947033623265,327108,109781,217327
2013_05_28_drive_0006_sync_000095,0,95,C0,raw,0,27.3665,1650,2324,69545,0.4151987921489683,0.02317578481634946,0.022443177953998285,3974,23247,178556,71195,0.17094678883296768,333251,119526,213725
2013_05_28_drive_0006_sync_000095,0,95,C0,dilate_r2,0,27.3665,7699,12814,63496,0.3753229659240482,0.10813961654610577,0.09164494280374721,20513,124865,178556,71195,0.1642814239378529,333251,119526,213725
2013_05_28_drive_0006_sync_000095,0,95,C3,raw,0,26.402246578475825,1625,2527,69570,0.3913776493256262,0.02282463656155629,0.022042266894549797,4152,22978,178556,71195,0.1806945774218818,333458,125098,208360
2013_05_28_drive_0006_sync_000095,0,95,C3,dilate_r2,0,26.402246578475825,7582,13575,63613,0.3583683887129555,0.10649624271367371,0.08944201958239943,21157,119900,178556,71195,0.1764553794829024,333458,125098,208360
2013_05_28_drive_0006_sync_000095,0,95,A,raw,0,21.679118912159193,1277,4081,69918,0.23833519970138112,0.01793665285483531,0.01696423826983368,5358,19790,178556,71195,0.27074279939363316,333613,145784,187829
2013_05_28_drive_0006_sync_000095,0,95,A,dilate_r2,0,21.679118912159193,6882,16146,64313,0.29885356956748305,0.09666409157946484,0.07879460963350546,23028,95489,178556,71195,0.24115866749049628,333613,145784,187829
2013_05_28_drive_0006_sync_000095,0,95,B,raw,0,19.921113418471894,1520,4128,69675,0.26912181303116145,0.02134981389142496,0.020179759170505688,5648,18170,178556,71195,0.310842047330765,333613,155692,177921
2013_05_28_drive_0006_sync_000095,0,95,B,dilate_r2,0,19.921113418471894,7213,17024,63982,0.29760283863514464,0.10131329447292647,0.08176243212913319,24237,85979,178556,71195,0.2818944160783447,333613,155692,177921
2013_05_28_drive_0006_sync_000095,0,95,OR,raw,1,18.971856754809284,1966,3967,69229,0.3313669307264453,0.027614298756935177,0.026156834570660707,5933,17177,178556,71195,0.3454037375560342,333613,160092,173521
2013_05_28_drive_0006_sync_000095,0,95,OR,dilate_r2,1,18.971856754809284,7320,17376,63875,0.29640427599611274,0.10281620900344125,0.0826455611881993,24696,81172,178556,71195,0.3042428423594343,333613,160092,173521
2013_05_28_drive_0006_sync_000100,0,100,C0,raw,0,27.3665,1608,2452,67722,0.3960591133004926,0.02319342276070965,0.022401159064946646,4060,20150,170035,69330,0.20148883374689827,339333,120653,218680
2013_05_28_drive_0006_sync_000100,0,100,C0,dilate_r2,0,27.3665,7847,13014,61483,0.3761564642155218,0.11318332612144814,0.09529534635188963,20861,114642,170035,69330,0.18196646953123638,339333,120653,218680
2013_05_28_drive_0006_sync_000100,0,100,C3,raw,0,25.694918258507858,1844,2548,67486,0.4198542805100182,0.026597432568873505,0.025654581373994824,4392,19333,170035,69330,0.22717633062639012,339333,128062,211271
2013_05_28_drive_0006_sync_000100,0,100,C3,dilate_r2,0,25.694918258507858,8451,13181,60879,0.3906712278106509,0.12189528342708784,0.10242270727539358,21632,106539,170035,69330,0.20304301711110484,339333,128062,211271
2013_05_28_drive_0006_sync_000100,0,100,A,raw,0,22.324557834201386,1694,3333,67636,0.33698030634573306,0.024433867012837156,0.023313102954736247,5027,17109,170035,69330,0.29382196504763575,339333,142101,197232
2013_05_28_drive_0006_sync_000100,0,100,A,dilate_r2,0,22.324557834201386,9473,14402,59857,0.39677486910994764,0.13663637674888215,0.11313476329240911,23875,89729,170035,69330,0.26607897112416273,339333,142101,197232
2013_05_28_drive_0006_sync_000100,0,100,B,raw,0,19.61798759594298,2060,3191,67270,0.39230622738525994,0.029712966969565845,0.028405565284538272,5251,14929,170035,69330,0.35173152923839507,339333,153771,185562
