clip_id,block,anchor,s_oracle,s_oracle_anchor_only,s_oracle_voxel_centre,ok,n_valid_lidar_px,s_C0,s_C3,s_A,s_B,absrel_C0,absrel_C3,absrel_A,absrel_B,absrel_OR
2013_05_28_drive_0006_sync_007275,69,7275,22.876757060548904,23.045587510498642,23.39596875906279,1,99561,27.3665,29.654125194962457,20.76031928281904,20.49880675341945,0.21841463525555252,0.3173049748796887,0.10011410434445825,0.10818956709046923,0.06730160024847395
2013_05_28_drive_0006_sync_007280,69,7280,23.488722372578746,23.517086618108838,24.262310880605714,1,98468,27.3665,30.501988572584803,21.580581729749785,20.907263737646414,0.18394613308998498,0.3150304687161443,0.09452149943953907,0.11454462408558459,0.06730976000208122
2013_05_28_drive_0006_sync_007285,69,7285,23.049590181963765,22.920817411949923,23.261183914853667,1,95841,27.3665,29.773817778909883,21.272858796296294,20.365162436694288,0.21106871535438698,0.3149179662595145,0.09208558101235466,0.11952843129828934,0.06953436157222755
2013_05_28_drive_0006_sync_007290,69,7290,22.7409010141937,22.42885060682616,22.994244478336267,1,94532,27.3665,29.2598295318805,21.6045395934466,20.207625618255395,0.21882211688474407,0.30099464970787837,0.07513762328974166,0.11759593190238601,0.06312183261066605
2013_05_28_drive_0006_sync_007295,70,7295,23.128940534447498,21.931891483364613,21.81133475674122,1,94907,27.3665,29.7537638034246,21.907150913292256,20.473409424671733,0.203205292883767,0.30536242799033847,0.08461359343116623,0.12145203731983767,0.07817770455674401
2013_05_28_drive_0006_sync_007300,70,7300,22.937655746695196,22.265967545093506,22.19884342714807,1,95012,27.3665,29.740267933443807,21.66147422082228,20.65671123955068,0.20049867264631863,0.2960853670928397,0.08781652448674293,0.11718102146414715,0.07695364690924601
2013_05_28_drive_0006_sync_007305,70,7305,22.797309594860415,22.118659677618933,22.564245691612175,1,97111,27.3665,29.78325069190753,20.939389007260097,20.411201031698575,0.21481301770125716,0.32003004174530814,0.0912181244306096,0.10935600229450217,0.061462360046154664
2013_05_28_drive_0006_sync_007310,70,7310,21.97792392917631,22.721392257643746,22.8241927411337,1,98512,27.3665,28.923752263228295,19.936760858658253,19.672956912878785,0.248366691247975,0.3181932219311148,0.10100887841425063,0.11200520482677022,0.045106744491142416
2013_05_28_drive_0006_sync_007315,70,7315,21.99273717824139,22.156334719648704,23.46944667318379,1,94041,27.3665,28.955768732608306,19.96953826597993,19.905566995047373,0.2498735197543413,0.32107218292541767,0.10191174711752375,0.1044595845804866,0.05328569753674845
2013_05_28_drive_0006_sync_007320,70,7320,22.607966889209276,23.580041292620066,24.398147983646965,1,92227,27.3665,29.706208652979743,20.07083333333333,20.283912901048286,0.21988083702879038,0.3203397766170506,0.13143951460471143,0.12339358541679192,0.07126195962435475
2013_05_28_drive_0006_sync_007325,70,7325,23.69011289884836,23.469299434966462,24.03628784731142,1,92540,27.3665,30.955326613571064,21.450416812150838,21.902190115062762,0.18178656023743991,0.3313690798108524,0.10533431714287002,0.09088333197596526,0.06158497930751476
2013_05_28_drive_0006_sync_007330,70,7330,25.691583297881916,26.87295358741392,27.827422221142474,1,93641,27.3665,33.731278807335904,23.012024556868536,23.547596380339193,0.1071982314134399,0.34110017947823074,0.11840066824569907,0.10381385090218244,0.07484190879444336
2013_05_28_drive_0006_sync_007335,70,7335,26.31287537587148,27.497375677581363,27.799822305465053,1,96826,27.3665,33.408675900173925,23.937539523608773,24.574224659606656,0.09082752845584634,0.302151311979567,0.11771643770192274,0.10239344247461066,0.08074157398911884
2013_05_28_drive_0006_sync_007340,70,7340,26.364837305613335,26.8515122350345,27.077317562671148,1,103086,27.3665,33.382771508315045,24.664094611339465,25.66912895003113,0.07714078380797794,0.28506399380633735,0.09177472492531843,0.0713513204522158,0.06678507379793319
2013_05_28_drive_0006_sync_007345,70,7345,26.747108335515676,26.950608078515682,27.45722127925856,1,106079,27.3665,33.30605474083408,25.72826694384836,27.20629309462042,0.06661617708946768,0.2676230191350956,0.06725440291332234,0.06401647564368011,0.06009870925924306
2013_05_28_drive_0006_sync_007350,70,7350,25.431722113604984,26.082761601977285,26.18489733908058,1,106415,27.3665,31.3515947994552,25.18923938679245,26.552233675610385,0.0922978588103051,0.2440512376858992,0.047491240261783446,0.06601035603273983,0.047742852095927796
2013_05_28_drive_0006_sync_007355,70,7355,23.088877011125636,24.014486543415615,24.571201632629432,1,104782,27.3665,28.993915912002105,22.169128615493527,23.487660218720606,0.19506376231635766,0.26460117506403924,0.061473950337525826,0.05867763570351872,0.05529647227930945
2013_05_28_drive_0006_sync_007360,70,7360,21.676527701746597,22.93433942943627,23.38783900220596,1,101284,27.3665,27.839395166378775,20.649191112782642,21.681990473013045,0.2752191543188889,0.29687058196894067,0.06488001119875529,0.05562068697263634,0.055600838858994785
2013_05_28_drive_0006_sync_007365,70,7365,21.113741350987787,22.171110888536404,22.667383371967066,1,99069,27.3665,27.594500129263945,19.7800833463868,20.804875379889012,0.3064461958510731,0.31715916614162937,0.07807466116796032,0.058557525602074334,0.057462462124251885
