block,K360-A-D,K360-A-R,K360-B-D,K360-B-R,K360-C0-D,K360-C0-R,K360-C3-D,K360-C3-R,K360-OR-D,K360-OR-R
55,0.1415964343341993,0.04274646314359527,0.1426616076664191,0.043043828022375316,0.1278542384626724,0.03445288861396378,0.10115438647995778,0.023644183963294096,0.14146155277223108,0.04128047841995063
56,0.1297846798342652,0.03664219116395977,0.12818752865082034,0.0358299018899851,0.10242511006057564,0.027394840277309825,0.09279683823833611,0.023299910528677168,0.128847650981841,0.0346421382590443
57,0.12731559155068783,0.033437544838561394,0.1300269925188206,0.03466599205307739,0.061674123008885695,0.011664791920111616,0.07146372459890526,0.014278357137689709,0.1301487817495456,0.033829905929435675
58,0.13129723118040826,0.037615465639006675,0.12963478412594398,0.03863556862857972,0.1233701657180265,0.026714244307288783,0.11925194689520639,0.02603639776756637,0.12882099755753645,0.035425356078029685
59,0.12979754881797567,0.039141313617356274,0.12621845180711647,0.03809035744104304,0.11459235597634683,0.02656996727068197,0.10096709518543687,0.019687788693560516,0.13321173349935572,0.03591191965079217
60,0.14918506849594135,0.042179542191010895,0.14760285337575305,0.04137018979950531,0.13031305035044022,0.03451113381776681,0.11283722560109533,0.02721950473770939,0.1439148802210407,0.04089653036837847
61,0.0924669260672639,0.022125624554902124,0.09026126239571843,0.02182451817797454,0.08916279709258926,0.020664904823787498,0.09177391576253034,0.021748802291553883,0.09126669372394439,0.021764450063919034
62,0.12306045811808479,0.033718790589397245,0.12551323588894764,0.03467841013769989,0.09794997929170751,0.01988304805272772,0.09315348155674585,0.0176739912366775,0.12867219088279935,0.03502821345981522
63,0.11138914972628311,0.03096677241391062,0.11489488039646763,0.03088782217851251,0.10119689741513568,0.02049216391095135,0.09762951728061917,0.020421515799353532,0.11567703303179969,0.030066781299211857
64,0.14931998981841238,0.043697046554377575,0.14359605848090803,0.038948901825448384,0.08128382175928014,0.011513270126719719,0.07439917936423532,0.010242091813008312,0.13418314638171763,0.032201364851092804
65,0.12545515426056844,0.0376078345773304,0.12444837647963189,0.038313975755469895,0.08986930083182319,0.01668341503804766,0.0924212649689211,0.01738667599239307,0.12677806306813505,0.037413248265091556
66,0.14615952294368004,0.03849809311829747,0.14712250139630684,0.03747578757188401,0.13049796379017686,0.029120924899207496,0.09699032384556405,0.01617545632712037,0.1448159223993498,0.033686311769307295
67,0.1327237610164223,0.034439394501319845,0.1303047630290129,0.03278547167635855,0.11828141761867246,0.02445593376455577,0.08989522441132802,0.01620431185846863,0.13454158248824583,0.032113936951023936
68,0.1527339734160353,0.04203632743026873,0.1525790413811055,0.04271040521176005,0.11639295483352571,0.02016114477841148,0.07624060887339468,0.011345722997607865,0.1590244954209345,0.04143714118061666
69,0.12765387438846626,0.03564840116043888,0.12478159546203578,0.03556361450055391,0.11159478786563012,0.02105762766938051,0.07997615175125625,0.011832787014922809,0.14263438907622347,0.037946970129390974
70,0.1513754666039173,0.04218771756423341,0.14618080859260468,0.03973618671705008,0.1087793857675327,0.02177249188741365,0.07784794166392592,0.01258236264374237,0.15554846653097823,0.03950885607035819
71,0.13478552447369108,0.040431112157442974,0.14034410845100428,0.03949575785422602,0.08382337422390847,0.016181970150394492,0.08169172738894337,0.016374542335669946,0.12786967470110686,0.030726743294558607
72,0.12089548381830881,0.033181953486510415,0.12283075607221901,0.03390320446366399,0.10839901824076748,0.027696228963781617,0.08618821787804332,0.017049001430156197,0.12006452065001552,0.03040038729817307
73,0.13497709750944892,0.039839710852129034,0.13392126236810026,0.039451022060179156,0.10911884788182016,0.024755300812620572,0.08756125946599358,0.016876943375141888,0.1263818017148441,0.03185417297685726
74,0.1370957973905836,0.03582084926748536,0.13882008592933298,0.03923800941019965,0.12266725193576286,0.02806055671995688,0.11999896741047786,0.02889276318468633,0.1476525824268827,0.037875046679785904
75,0.1792875172642968,0.05007346532871584,0.18058992479516006,0.05208275876744044,0.07700820655169739,0.014208739224064851,0.08453941727362431,0.0148418303949721,0.1568545284450827,0.03666613634495016
76,0.18048334795102242,0.05483872128900199,0.18154002509173933,0.05528272724847723,0.14516749209204957,0.03059612014127036,0.11092476354171021,0.016879723903927998,0.19467925484197218,0.05779464844440195
77,0.13468153619810783,0.037582058662763915,0.12972724142652023,0.03497742743158287,0.10483483320061118,0.024052772623693208,0.07335371269584394,0.012770515192021686,0.12764489017460928,0.034898173040625965
78,0.1520876435196645,0.04674835002734332,0.15140803914092443,0.04414059243188623,0.12443887450235244,0.027839598795289088,0.1021567763589168,0.017449945817955288,0.14230000617535882,0.03419783193943343
79,0.14506292263183135,0.04089943886226383,0.15299627598136173,0.044745901340734015,0.10055639888898078,0.02043784930143296,0.06449290960883244,0.00918888259568187,0.1325789934948048,0.03388698529940895
80,0.14134977093152717,0.04123879902544758,0.1510968449813453,0.04029033900465704,0.13555845284958623,0.030097450245684755,0.08919074605090418,0.012753888924979436,0.1586191216360324,0.042185550322728624
81,0.13634510779208298,0.03634482988414198,0.13404391576891617,0.03336596780001317,0.1262961298010713,0.028306153534285606,0.0777551894718669,0.009678086645278947,0.12529813590687916,0.029236252492843246
82,0.15176218713763084,0.04484906569307373,0.15294164328294296,0.04150932869223772,0.15402392560152303,0.041563754796194986,0.09648066502297112,0.01626348190249129,0.15084138878754752,0.03975386616381218
83,0.12989285644577803,0.04187497937714599,0.1313656653647084,0.03677807986417571,0.11046869914319717,0.023739845818648162,0.0836894990324986,0.011496953283145001,0.13475325516895986,0.032444219987240515
84,0.12652831633922496,0.03888826105343351,0.13050897620695198,0.041327816632088996,0.13074365133351418,0.027150521408908106,0.10119111190337915,0.0135673593490417,0.15068572378033365,0.036591684261677304
85,0.13923402410490357,0.037291247682851345,0.13823866047511266,0.034783351706310674,0.13813820729981702,0.03266270368473507,0.09899337631456565,0.016330508876585978,0.14151862629666823,0.03229636183153141
86,0.15796813756204067,0.04571133910776308,0.1602245997997051,0.0448474772267098,0.1491649842979988,0.037206959115155806,0.11569926237598643,0.017338398192759372,0.16694815269203594,0.041628020225954056
