clip_id,block,variant,s_c0,s_c3,a_clip,n_support_px,ok
2013_05_28_drive_0006_sync_000835,7,C0C3,27.3665,23.04500958497247,-0.1718703955411911,298577,1
2013_05_28_drive_0006_sync_000840,7,C0C3,27.3665,24.751780059388267,-0.10042222961783409,299684,1
2013_05_28_drive_0006_sync_000845,7,C0C3,27.3665,27.03046573283906,-0.012355047278106213,302276,1
2013_05_28_drive_0006_sync_000850,7,C0C3,27.3665,27.5132492811098,0.00534804305061698,305521,1
2013_05_28_drive_0006_sync_000855,7,C0C3,27.3665,27.91569748518835,0.019869526848196983,307666,1
2013_05_28_drive_0006_sync_000860,7,C0C3,27.3665,28.014807303136397,0.023413565009832382,313471,1
2013_05_28_drive_0006_sync_000865,7,C0C3,27.3665,27.8101499507907,0.016081422567367554,315717,1
2013_05_28_drive_0006_sync_000870,7,C0C3,27.3665,27.44382524068749,0.0028215593192726374,318585,1
2013_05_28_drive_0006_sync_000875,7,C0C3,27.3665,27.581848064389938,0.007838239893317223,312393,1
2013_05_28_drive_0006_sync_000880,7,C0C3,27.3665,27.351609691925205,-0.0005442552210297436,313578,1
2013_05_28_drive_0006_sync_000885,7,C0C3,27.3665,27.060504166443803,-0.01124438364058733,315121,1
2013_05_28_drive_0006_sync_000890,7,C0C3,27.3665,27.20842494418613,-0.005792971700429916,312947,1
2013_05_28_drive_0006_sync_000895,8,C0C3,27.3665,26.214413608271155,-0.04301024042069912,307510,1
2013_05_28_drive_0006_sync_000900,8,C0C3,27.3665,25.95027427128046,-0.053137458860874176,307131,1
2013_05_28_drive_0006_sync_000905,8,C0C3,27.3665,26.13555502487925,-0.046022988855838776,304019,1
2013_05_28_drive_0006_sync_000910,8,C0C3,27.3665,27.099086510326245,-0.009819618426263332,299410,1
2013_05_28_drive_0006_sync_000915,8,C0C3,27.3665,27.23075673707885,-0.004972540773451328,301456,1
2013_05_28_drive_0006_sync_000920,8,C0C3,27.3665,27.706566257786456,0.01234979648143053,302399,1
2013_05_28_drive_0006_sync_000925,8,C0C3,27.3665,27.357026771050634,-0.00034622143721207976,303227,1
2013_05_28_drive_0006_sync_000930,8,C0C3,27.3665,27.27527822689834,-0.0033389051677659154,308336,1
2013_05_28_drive_0006_sync_000935,8,C0C3,27.3665,26.258127723985105,-0.04134406894445419,315501,1
2013_05_28_drive_0006_sync_000940,8,C0C3,27.3665,25.53845885970286,-0.06913413107395172,314323,1
2013_05_28_drive_0006_sync_000945,8,C0C3,27.3665,25.116715249479682,-0.08578606694936752,309661,1
2013_05_28_drive_0006_sync_000950,8,C0C3,27.3665,25.285880391460005,-0.07907348498702049,301750,1
2013_05_28_drive_0006_sync_000955,8,C0C3,27.3665,25.580896783959176,-0.06747378408908844,295815,1
2013_05_28_drive_0006_sync_000960,8,C0C3,27.3665,26.877931425988173,-0.018014080822467804,284864,1
2013_05_28_drive_0006_sync_000965,8,C0C3,27.3665,27.185860580270155,-0.006622631102800369,290332,1
2013_05_28_drive_0006_sync_000970,8,C0C3,27.3665,26.687047221264933,-0.02514131274074316,278598,1
2013_05_28_drive_0006_sync_000975,8,C0C3,27.3665,26.82016453465793,-0.020165625028312206,287882,1
2013_05_28_drive_0006_sync_000980,8,C0C3,27.3665,27.185007944882017,-0.006653994787484407,291237,1
2013_05_28_drive_0006_sync_000985,8,C0C3,27.3665,27.626489818031637,0.009455450810492039,291956,1
2013_05_28_drive_0006_sync_000990,8,C0C3,27.3665,27.711997576442084,0.012545807287096977,295389,1
2013_05_28_drive_0006_sync_000995,9,C0C3,27.3665,28.120981870418163,0.02719634585082531,293951,1
2013_05_28_drive_0006_sync_001000,9,C0C3,27.3665,27.584008758551768,0.007916574366390705,289195,1
2013_05_28_drive_0006_sync_001005,9,C0C3,27.3665,26.743946354051005,-0.023011494427919388,281647,1
2013_05_28_drive_0006_sync_001010,9,C0C3,27.3665,25.78125104658482,-0.05967211350798607,277615,1
