clip_id,sequence,method,iou,precision,recall,n_points
08_003300_003320_s5,08,ceiling_gt_lidar_gt_pose,0.0826324156622709,0.9751239669421488,0.08280697321879738,89144
08_003325_003345_s5,08,ceiling_gt_lidar_gt_pose,0.0731478434670274,0.9862788595842577,0.07322235709623702,93836
08_003350_003370_s5,08,ceiling_gt_lidar_gt_pose,0.1280989884901568,0.9871807514051869,0.1283124307073141,96078
08_003375_003395_s5,08,ceiling_gt_lidar_gt_pose,0.13804038692248966,0.9873979836773884,0.13828401422004086,96783
08_003400_003420_s5,08,ceiling_gt_lidar_gt_pose,0.20189950980392157,0.9183900997825966,0.20558800039932115,94080
08_003425_003445_s5,08,ceiling_gt_lidar_gt_pose,0.10170618828115618,0.9011294810934687,0.10285393993180438,93437
08_003450_003470_s5,08,ceiling_gt_lidar_gt_pose,0.10896667131501883,0.9363316823773766,0.10978008392027573,92482
08_003475_003495_s5,08,ceiling_gt_lidar_gt_pose,0.0799729959342193,0.9324312372866366,0.0804391613513596,88071
08_003500_003520_s5,08,ceiling_gt_lidar_gt_pose,0.08179845118356938,0.9842495681333198,0.08190566388743256,88586
08_003525_003545_s5,08,ceiling_gt_lidar_gt_pose,0.0728342877920189,0.956145584725537,0.07307841393620175,84074
08_003550_003570_s5,08,ceiling_gt_lidar_gt_pose,0.10682678587629801,0.9204093234792495,0.10782281494801162,88141
08_003575_003595_s5,08,ceiling_gt_lidar_gt_pose,0.08947936336660373,0.9422403181516902,0.08997287522603978,87432
08_003600_003620_s5,08,ceiling_gt_lidar_gt_pose,0.07877871825876663,0.9705772811918063,0.07896730402109027,88850
08_003625_003645_s5,08,ceiling_gt_lidar_gt_pose,0.11252864848849267,0.9741249245624622,0.11286600821606503,89431
08_003650_003670_s5,08,ceiling_gt_lidar_gt_pose,0.10387031408308003,0.9783376276362248,0.10410975597371869,92321
08_003675_003695_s5,08,ceiling_gt_lidar_gt_pose,0.09057964717128704,0.9524810381065522,0.09099083369707552,90427
08_003700_003720_s5,08,ceiling_gt_lidar_gt_pose,0.14698035672023924,0.9654465799886942,0.1477576268803599,89178
08_003725_003745_s5,08,ceiling_gt_lidar_gt_pose,0.19686060399249275,0.9425700514663835,0.19925052238934843,96998
08_003750_003770_s5,08,ceiling_gt_lidar_gt_pose,0.10082893425766923,0.9320921117099461,0.1015750974424689,94459
08_003775_003795_s5,08,ceiling_gt_lidar_gt_pose,0.1250892345435716,0.9341492716624118,0.12620206938527084,90258
08_003800_003820_s5,08,ceiling_gt_lidar_gt_pose,0.11352428530759553,0.9437361630658829,0.11429786604534191,85728
08_003825_003845_s5,08,ceiling_gt_lidar_gt_pose,0.11361149516934847,0.9218803771766811,0.11471590811764504,85427
08_003850_003870_s5,08,ceiling_gt_lidar_gt_pose,0.1435516237528617,0.8733306585659426,0.14660406223239972,92900
08_003875_003895_s5,08,ceiling_gt_lidar_gt_pose,0.0920217548044827,0.9557178515299991,0.09241579060287491,87522
08_003900_003920_s5,08,ceiling_gt_lidar_gt_pose,0.08140904999590869,0.9191611234294161,0.08199612642683479,87145
08_003925_003945_s5,08,ceiling_gt_lidar_gt_pose,0.07691453371151283,0.9404575368223127,0.07729091190055115,86939
08_003950_003970_s5,08,ceiling_gt_lidar_gt_pose,0.15103567627994968,0.9040664007206279,0.15349573956740223,89280
08_003975_003995_s5,08,ceiling_gt_lidar_gt_pose,0.19856069425336015,0.9166951678311428,0.20220940884841299,93451
08_004000_004020_s5,08,ceiling_gt_lidar_gt_pose,0.18828005547061125,0.9302529866479269,0.19097597922527593,91575
08_004025_004045_s5,08,ceiling_gt_lidar_gt_pose,0.20511166845813925,0.8808986458760771,0.2109620676100629,91091
08_004050_004070_s5,08,ceiling_gt_lidar_gt_pose,0.41985171261487053,0.5703241364635789,0.6140980601802353,88612
