clip_id,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction,fov_x_deg
scene-1059_CAM_FRONT_f8ac246e_31c4135d,3,73976,10.503086478157444,0.06120367167570473,0.776679011372889,0.49852914138628424,71.81209564208984
scene-1059_CAM_FRONT_f8ac246e_31c4135d,4,75355,10.265407349706745,0.08150706901964133,0.7951172747091114,0.503125574554146,71.68316650390625
scene-1059_CAM_FRONT_49e0e239_7dfdfced,0,92600,14.054847205931635,0.12149254822050515,0.803817666062564,0.6483859953247708,68.49340057373047
scene-1059_CAM_FRONT_49e0e239_7dfdfced,1,85427,15.604957376627826,0.092188207008018,0.7404525516770415,0.6284571743755417,65.58244323730469
scene-1059_CAM_FRONT_49e0e239_7dfdfced,2,85743,14.266774470074811,0.10278697428580008,0.7302287710450975,0.6584915819609697,69.095458984375
scene-1059_CAM_FRONT_49e0e239_7dfdfced,3,80429,14.794469611930724,0.0926510382866379,0.7520815275917316,0.5734247366900428,66.28853607177734
scene-1059_CAM_FRONT_49e0e239_7dfdfced,4,77294,15.814294849068071,0.12924040532850256,0.7438933102198408,0.5581120479079663,65.0667724609375
scene-1059_CAM_FRONT_171e5846_5253c29c,0,99302,21.40061986502348,0.10342857054206744,0.7468612927796602,0.7675124103695532,66.26641082763672
scene-1059_CAM_FRONT_171e5846_5253c29c,1,98243,20.749686403936092,0.10017165188742183,0.7462900218002259,0.7431053502482073,65.72064971923828
scene-1059_CAM_FRONT_171e5846_5253c29c,2,89929,21.75971333927029,0.08295291171220365,0.6831350300738056,0.7400585716912248,65.57078552246094
scene-1059_CAM_FRONT_171e5846_5253c29c,3,90286,19.857784035458682,0.0785874142981462,0.6967930029154519,0.751438026948231,68.70370483398438
scene-1059_CAM_FRONT_171e5846_5253c29c,4,91119,17.4487348206328,0.06902497036665434,0.735212617865679,0.7872376749927771,69.51033782958984
scene-1060_CAM_FRONT_e74b8ce0_ffced1bc,0,90191,22.184764942089163,0.07556067615583828,0.8153875449793817,0.6732723977621937,72.1170654296875
scene-1060_CAM_FRONT_e74b8ce0_ffced1bc,1,95784,17.700176038240134,0.07401640070567983,0.8570968928111785,0.7227562839807737,87.01309967041016
scene-1060_CAM_FRONT_e74b8ce0_ffced1bc,2,79541,18.006052438219776,0.10899295088111316,0.765128831455362,0.665550390040186,82.05107879638672
scene-1060_CAM_FRONT_e74b8ce0_ffced1bc,3,76695,21.408204127116466,0.03893748091429927,0.7746368817797389,0.6201573293410028,74.21549224853516
scene-1060_CAM_FRONT_e74b8ce0_ffced1bc,4,63105,21.005662132958285,0.05315409198969423,0.6589643579439498,0.511412286922491,69.40773010253906
scene-1060_CAM_FRONT_ce3718b3_6a572eb7,0,72745,24.385076467175058,0.0388410152533889,0.6742639140598324,0.5349460247419431,69.66419982910156
scene-1060_CAM_FRONT_ce3718b3_6a572eb7,1,84689,26.67438058035714,0.04346550868960186,0.9130683161295406,0.5627807107398944,63.53471755981445
scene-1060_CAM_FRONT_ce3718b3_6a572eb7,2,83844,25.697176356102457,0.08352507164171996,0.7592782286659838,0.736552149817456,66.92113494873047
scene-1060_CAM_FRONT_ce3718b3_6a572eb7,3,87023,33.799183132123574,0.08273300270890216,0.8176988942295065,0.7290533974207444,60.00335693359375
scene-1060_CAM_FRONT_ce3718b3_6a572eb7,4,84737,29.05145947802198,0.13245663073217484,0.8407335907335908,0.6366388254143356,67.32756805419922
scene-1060_CAM_FRONT_2f51a63b_2fd7d4c5,0,74749,24.8744077166065,0.024846345728423813,0.8285530428387571,0.5506264281774486,63.74652862548828
scene-1060_CAM_FRONT_2f51a63b_2fd7d4c5,1,79432,18.194272511774916,0.03914497515510518,0.7465986394557823,0.6026317863052557,80.56827545166016
scene-1060_CAM_FRONT_2f51a63b_2fd7d4c5,2,85666,18.218821814722723,0.12040581310096554,0.7581882173718908,0.6513868095500749,85.29402923583984
scene-1060_CAM_FRONT_2f51a63b_2fd7d4c5,3,85577,19.684092261904762,0.14018013922687622,0.8340621963070942,0.669634649226486,80.45909118652344
scene-1060_CAM_FRONT_2f51a63b_2fd7d4c5,4,88230,16.647307104869903,0.08922099723606869,0.8772883670842855,0.6645391747432564,88.50917053222656
scene-1060_CAM_FRONT_d6297a6f_8df260af,0,93309,17.305291328721374,0.08992453941823131,0.8178105218921545,0.6998988784703071,86.4530029296875
scene-1060_CAM_FRONT_d6297a6f_8df260af,1,91229,18.637114126303214,0.07205499524525782,0.8043955033750952,0.6676581829643055,83.87129974365234
scene-1060_CAM_FRONT_d6297a6f_8df260af,2,93006,19.538842345773038,0.10167893702125896,0.8646810075381504,0.7357379245134347,82.09829711914062
scene-1060_CAM_FRONT_d6297a6f_8df260af,3,82642,18.901441356803794,0.04674479304977108,0.8063522706379849,0.6682688519423213,78.30164337158203
scene-1060_CAM_FRONT_d6297a6f_8df260af,4,72306,20.88904690155055,0.025703567714594255,0.7470582827725685,0.6113978409896778,73.91970825195312
scene-1060_CAM_FRONT_e0e5ebc1_84eb0d49,0,68156,19.23975488744076,0.06037274609827237,0.7097680771150159,0.49762955375200274,69.93181610107422
scene-1060_CAM_FRONT_e0e5ebc1_84eb0d49,1,70115,24.647930232024937,0.050053433239331646,0.6249901505003546,0.5431670737793187,64.15003204345703
scene-1060_CAM_FRONT_e0e5ebc1_84eb0d49,2,67802,23.348072748384485,0.052125527403208194,0.641517610905366,0.5168032463950831,73.34993743896484
scene-1060_CAM_FRONT_e0e5ebc1_84eb0d49,3,74410,30.813935512367493,0.06579847111357928,0.7587069576865495,0.5473366952958789,61.291175842285156
scene-1060_CAM_FRONT_e0e5ebc1_84eb0d49,4,74111,25.955034774295147,0.04418598544767782,0.824961258634728,0.507570982060778,68.50037384033203
scene-1060_CAM_FRONT_263f230e_fb43e7b6,0,91932,19.726743688367424,0.03776093349981369,0.8651669161873243,0.6527788721666272,75.6231460571289
scene-1060_CAM_FRONT_263f230e_fb43e7b6,1,98627,19.109538859088712,0.07937733937691593,0.7843484884301211,0.7920967614845166,76.75244140625
scene-1060_CAM_FRONT_263f230e_fb43e7b6,2,101798,17.620109822775266,0.06307664311301675,0.8679970057521078,0.7392640453864944,81.46891784667969
scene-1060_CAM_FRONT_263f230e_fb43e7b6,3,106621,23.80123310456831,0.09866309267590445,0.848987471436451,0.7896540855724529,68.69158172607422
scene-1060_CAM_FRONT_263f230e_fb43e7b6,4,79158,22.037837554304904,0.05448429988904335,0.6205578756599165,0.664460378746093,75.75553894042969
scene-1060_CAM_FRONT_5510e4b6_0b0e7d27,0,74012,23.813833220108698,0.04388659211810175,0.6424697292044231,0.6154624011766869,66.47988891601562
scene-1060_CAM_FRONT_5510e4b6_0b0e7d27,1,86591,22.468421994274813,0.07087691623243364,0.7184225041367899,0.6642699550862816,71.57110595703125
scene-1060_CAM_FRONT_5510e4b6_0b0e7d27,2,91607,24.000991434010146,0.06313824274700597,0.6840280513749901,0.7613203582591338,68.28449249267578
scene-1060_CAM_FRONT_5510e4b6_0b0e7d27,3,84683,24.108872899469336,0.09076250230344396,0.6919273500906153,0.6690765109132456,68.86207580566406
scene-1060_CAM_FRONT_5510e4b6_0b0e7d27,4,78830,21.937659655994544,0.025349863250033078,0.674907414703333,0.685492343655609,75.2436294555664
scene-1060_CAM_FRONT_3f9e2573_2deffe9a,0,80753,20.418600572724475,0.08799392651825455,0.6128621332702965,0.7534210595435086,80.58556365966797
scene-1060_CAM_FRONT_3f9e2573_2deffe9a,1,84478,19.877419652442292,0.05386978956925237,0.6484779239881281,0.7369855278018543,79.86964416503906
scene-1060_CAM_FRONT_3f9e2573_2deffe9a,2,92036,16.66118072591437,0.06338371122845565,0.7106676647492974,0.7507419956399548,89.08838653564453
scene-1060_CAM_FRONT_3f9e2573_2deffe9a,3,105037,20.1385351164174,0.1377985914849278,0.7940206970819216,0.7848606624116828,78.00344848632812
scene-1060_CAM_FRONT_3f9e2573_2deffe9a,4,109808,21.182566964285716,0.06639262136347823,0.8669595251227904,0.7324350589656712,74.8875732421875
scene-1061_CAM_FRONT_79f64892_331fa27d,0,89450,16.285101215902284,0.05732328370578932,0.9175596879678513,0.5875095211829906,78.72245025634766
scene-1061_CAM_FRONT_79f64892_331fa27d,1,89077,14.462674887663399,0.12446184603400212,0.9114464318545952,0.5849092532766003,79.17019653320312
scene-1061_CAM_FRONT_79f64892_331fa27d,2,86046,17.77361297607422,0.08765596683975474,0.9126283718120453,0.5650526619914376,71.51322937011719
scene-1061_CAM_FRONT_79f64892_331fa27d,3,80090,13.813884678171647,0.0808093262309475,0.8728757912431382,0.5258976177343524,83.87256622314453
scene-1061_CAM_FRONT_79f64892_331fa27d,4,81755,14.319582456820191,0.042632541586564265,0.8633808735849552,0.5368305623407664,82.8544692993164
scene-1061_CAM_FRONT_3eada6f4_9fa6e5f9,0,102662,17.06095012150876,0.1315131073216238,0.8884117353505109,0.6994064034880362,86.0216293334961
scene-1061_CAM_FRONT_3eada6f4_9fa6e5f9,1,96001,19.491983026002718,0.03758988414275022,0.8204633204633205,0.670468573529798,85.09725952148438
scene-1061_CAM_FRONT_3eada6f4_9fa6e5f9,2,101745,20.039332561728394,0.052759613516532244,0.8895936753079611,0.6822223097733302,82.56299591064453
scene-1061_CAM_FRONT_3eada6f4_9fa6e5f9,3,112208,15.850158810848828,0.04141982873916339,0.8508523100359835,0.8103905654926064,90.84125518798828
scene-1061_CAM_FRONT_3eada6f4_9fa6e5f9,4,107627,14.720252793069946,0.08936978776509541,0.8819898615816983,0.7833569721324823,90.35177612304688
scene-1061_CAM_FRONT_f8de8186_f267aa43,0,101361,18.330913658038146,0.04398549611353708,0.8030034407585428,0.683561841725107,76.07701110839844
scene-1061_CAM_FRONT_f8de8186_f267aa43,1,99770,19.22121983959381,0.05227927984479175,0.7963977096630158,0.7310692616815065,76.82730102539062
scene-1061_CAM_FRONT_f8de8186_f267aa43,2,97480,18.15669107695282,0.06927368068660655,0.7792989782785701,0.7417395529640428,78.51010131835938
scene-1061_CAM_FRONT_f8de8186_f267aa43,3,88766,19.696392054479034,0.055379284187704325,0.7671709610485121,0.6693785622357051,72.2741928100586
scene-1061_CAM_FRONT_f8de8186_f267aa43,4,80136,16.867244655020176,0.05017405153164933,0.7653323877813674,0.598875843773803,75.15776824951172
scene-1061_CAM_FRONT_50e62add_8a75ea80,0,110295,18.85311956048738,0.0849618286091749,0.7791216872849526,0.7912168728495259,73.29110717773438
scene-1061_CAM_FRONT_50e62add_8a75ea80,1,111187,23.522451654586508,0.03733393596687762,0.8488036141097366,0.767302287710451,64.5889892578125
scene-1061_CAM_FRONT_50e62add_8a75ea80,2,112344,26.329617034313728,0.0946285479331288,0.8852533291308802,0.770907204580674,61.073402404785156
scene-1061_CAM_FRONT_50e62add_8a75ea80,3,113094,29.562204639243884,0.113974784794455,0.8362487852283771,0.7836721561211357,57.01536178588867
scene-1061_CAM_FRONT_50e62add_8a75ea80,4,109392,31.48580347803347,0.08987943357564587,0.7983873085913902,0.8048157486932997,53.160194396972656
